hospital_id,hour,weekday,patient_count,emergency_count,wait_minutes
st_marys,2,2,16,5,14
metrocare,2,2,15,3,1
govt_hospital,2,2,28,9,3
city_general,3,2,24,0,8
st_marys,3,2,11,0,11
metrocare,3,2,23,2,5
govt_hospital,3,2,17,4,13
city_general,4,2,17,2,5
st_marys,4,2,23,9,7
metrocare,4,2,23,2,8
govt_hospital,4,2,24,3,5
city_general,5,2,19,0,8
st_marys,5,2,17,0,6
metrocare,5,2,31,8,9
govt_hospital,5,2,15,4,7
city_general,6,2,14,3,7
st_marys,6,2,43,5,5
metrocare,6,2,40,9,8
govt_hospital,6,2,26,8,17
city_general,7,2,32,7,8
st_marys,7,2,25,0,14
metrocare,7,2,28,7,1
govt_hospital,7,2,23,3,11
city_general,8,2,64,8,5
st_marys,8,2,64,16,12
metrocare,8,2,57,6,10
govt_hospital,8,2,58,8,6
city_general,9,2,55,11,11
st_marys,9,2,59,6,15
metrocare,9,2,60,10,11
govt_hospital,9,2,50,7,3
city_general,10,2,81,13,17
st_marys,10,2,57,11,13
metrocare,10,2,52,3,0
govt_hospital,10,2,44,5,14
city_general,11,2,60,10,9
st_marys,11,2,62,6,5
metrocare,11,2,52,5,3
govt_hospital,11,2,80,15,17
city_general,12,2,18,4,1
st_marys,12,2,10,2,2
metrocare,12,2,17,0,9
govt_hospital,12,2,10,1,7
city_general,13,2,30,8,9
st_marys,13,2,26,1,10
metrocare,13,2,23,4,0
govt_hospital,13,2,8,0,12
city_general,14,2,31,5,0
st_marys,14,2,15,2,0
metrocare,14,2,15,5,4
govt_hospital,14,2,19,4,8
city_general,15,2,29,4,5
st_marys,15,2,29,1,10
metrocare,15,2,10,0,13
govt_hospital,15,2,25,1,0
city_general,16,2,20,0,7
st_marys,16,2,14,4,-3
metrocare,16,2,30,2,4
govt_hospital,16,2,32,5,5
city_general,17,2,54,4,8
st_marys,17,2,69,17,10
metrocare,17,2,46,15,7
govt_hospital,17,2,59,16,16
city_general,18,2,73,11,21
st_marys,18,2,91,10,14
metrocare,18,2,86,11,10
govt_hospital,18,2,61,11,6
city_general,19,2,68,15,10
st_marys,19,2,56,4,14
metrocare,19,2,90,12,15
govt_hospital,19,2,70,4,9
city_general,20,2,79,15,10
st_marys,20,2,53,3,5
metrocare,20,2,83,14,14
govt_hospital,20,2,68,7,12
city_general,21,2,18,6,0
st_marys,21,2,19,4,6
metrocare,21,2,11,3,8
govt_hospital,21,2,37,0,16
city_general,22,2,37,6,8
st_marys,22,2,9,3,7
metrocare,22,2,16,1,11
govt_hospital,22,2,30,2,5
city_general,23,2,21,3,-1
st_marys,23,2,26,5,8
metrocare,23,2,12,0,4
govt_hospital,23,2,28,2,1
city_general,0,3,31,4,10
st_marys,0,3,27,1,13
metrocare,0,3,10,0,8
govt_hospital,0,3,34,2,10
city_general,1,3,19,0,2
st_marys,1,3,24,3,6
metrocare,1,3,12,5,7
govt_hospital,1,3,16,5,1
city_general,2,3,32,9,9
st_marys,2,3,31,2,9
metrocare,2,3,30,0,6
govt_hospital,2,3,18,2,4
city_general,3,3,29,0,1
st_marys,3,3,1,4,0
metrocare,3,3,43,11,14
govt_hospital,3,3,2,0,-1
city_general,4,3,15,7,11
st_marys,4,3,16,6,11
metrocare,4,3,18,1,11
govt_hospital,4,3,30,4,2
city_general,5,3,34,4,3
st_marys,5,3,14,0,1
metrocare,5,3,9,1,6
govt_hospital,5,3,15,0,9
city_general,6,3,7,1,5
st_marys,6,3,3,5,1
metrocare,6,3,9,0,3
govt_hospital,6,3,26,1,6
city_general,7,3,19,1,8
st_marys,7,3,37,3,5
metrocare,7,3,22,2,4
govt_hospital,7,3,26,1,13
city_general,8,3,68,15,6
st_marys,8,3,73,8,5
metrocare,8,3,56,8,11
govt_hospital,8,3,66,8,12
city_general,9,3,69,13,12
st_marys,9,3,62,9,4
metrocare,9,3,53,6,4
govt_hospital,9,3,53,4,15
city_general,10,3,62,17,14
st_marys,10,3,55,5,17
metrocare,10,3,74,8,16
govt_hospital,10,3,70,11,6
city_general,11,3,49,10,13
st_marys,11,3,64,5,14
metrocare,11,3,77,14,8
govt_hospital,11,3,47,2,12
city_general,12,3,24,2,7
st_marys,12,3,22,4,9
metrocare,12,3,23,3,0
govt_hospital,12,3,18,0,7
city_general,13,3,15,3,10
st_marys,13,3,12,3,3
metrocare,13,3,21,5,2
govt_hospital,13,3,29,0,10
city_general,14,3,21,4,12
st_marys,14,3,7,1,8
metrocare,14,3,10,1,6
govt_hospital,14,3,40,6,0
city_general,15,3,6,0,7
st_marys,15,3,10,2,10
metrocare,15,3,13,2,7
govt_hospital,15,3,20,2,12
city_general,16,3,21,3,2
st_marys,16,3,28,0,3
metrocare,16,3,38,7,10
govt_hospital,16,3,14,1,6
city_general,17,3,72,17,11
st_marys,17,3,44,4,14
metrocare,17,3,65,10,12
govt_hospital,17,3,80,9,15
city_general,18,3,64,6,10
st_marys,18,3,67,11,14
metrocare,18,3,57,10,8
govt_hospital,18,3,69,7,4
city_general,19,3,81,12,13
st_marys,19,3,64,13,17
metrocare,19,3,52,6,10
govt_hospital,19,3,79,16,10
city_general,20,3,70,12,15
st_marys,20,3,66,8,8
metrocare,20,3,52,6,6
govt_hospital,20,3,72,10,13
city_general,21,3,20,4,7
st_marys,21,3,26,0,4
metrocare,21,3,15,0,8
govt_hospital,21,3,37,5,10
city_general,22,3,23,6,8
st_marys,22,3,22,2,5
metrocare,22,3,32,3,6
govt_hospital,22,3,7,3,7
city_general,23,3,30,2,4
st_marys,23,3,9,1,5
metrocare,23,3,16,7,9
govt_hospital,23,3,14,5,5
city_general,0,4,8,0,5
st_marys,0,4,30,1,9
metrocare,0,4,12,3,11
govt_hospital,0,4,24,0,1
city_general,1,4,29,0,10
st_marys,1,4,18,3,3
metrocare,1,4,32,6,4
govt_hospital,1,4,24,4,12
city_general,2,4,7,1,0
st_marys,2,4,16,2,7
metrocare,2,4,23,5,11
govt_hospital,2,4,4,0,9
city_general,3,4,1,0,0
st_marys,3,4,33,0,9
metrocare,3,4,10,3,14
govt_hospital,3,4,10,0,2
city_general,4,4,17,0,9
st_marys,4,4,17,8,10
metrocare,4,4,12,0,8
govt_hospital,4,4,16,0,5
city_general,5,4,22,0,9
st_marys,5,4,14,0,5
metrocare,5,4,5,0,0
govt_hospital,5,4,36,3,7
city_general,6,4,42,7,2
st_marys,6,4,8,1,5
metrocare,6,4,1,0,10
govt_hospital,6,4,7,0,3
city_general,7,4,31,5,5
st_marys,7,4,33,9,6
metrocare,7,4,31,1,0
govt_hospital,7,4,16,2,2
city_general,8,4,62,6,10
st_marys,8,4,34,8,7
metrocare,8,4,59,13,15
govt_hospital,8,4,73,11,12
city_general,9,4,52,7,4
st_marys,9,4,60,5,8
metrocare,9,4,66,12,7
govt_hospital,9,4,58,6,13
city_general,10,4,66,8,9
st_marys,10,4,56,6,6
metrocare,10,4,69,15,11
govt_hospital,10,4,68,8,10
city_general,11,4,55,7,12
st_marys,11,4,61,4,10
metrocare,11,4,73,10,3
govt_hospital,11,4,60,10,7
city_general,12,4,23,5,13
st_marys,12,4,15,3,7
metrocare,12,4,17,4,5
govt_hospital,12,4,20,0,8
city_general,13,4,18,1,3
st_marys,13,4,4,0,7
metrocare,13,4,2,0,3
govt_hospital,13,4,38,1,11
city_general,14,4,23,2,-2
st_marys,14,4,15,4,4
metrocare,14,4,19,0,1
govt_hospital,14,4,16,1,5
city_general,15,4,24,7,0
st_marys,15,4,4,0,8
metrocare,15,4,25,10,5
govt_hospital,15,4,28,1,6
city_general,16,4,17,3,6
st_marys,16,4,15,2,4
metrocare,16,4,19,7,12
govt_hospital,16,4,8,1,6
city_general,17,4,69,11,16
st_marys,17,4,63,18,15
metrocare,17,4,75,12,19
govt_hospital,17,4,77,12,15
city_general,18,4,79,3,13
st_marys,18,4,69,7,11
metrocare,18,4,72,8,9
govt_hospital,18,4,57,8,10
city_general,19,4,78,14,12
st_marys,19,4,79,15,12
metrocare,19,4,74,14,13
govt_hospital,19,4,79,12,17
city_general,20,4,59,10,6
st_marys,20,4,71,16,14
metrocare,20,4,76,13,14
govt_hospital,20,4,61,10,7
city_general,21,4,21,6,1
st_marys,21,4,42,7,9
metrocare,21,4,18,0,2
govt_hospital,21,4,7,0,10
city_general,22,4,11,0,5
st_marys,22,4,27,4,11
metrocare,22,4,21,0,16
govt_hospital,22,4,32,6,11
city_general,23,4,41,6,17
st_marys,23,4,16,4,10
metrocare,23,4,21,5,16
govt_hospital,23,4,24,0,9
city_general,0,5,11,3,5
st_marys,0,5,28,2,10
metrocare,0,5,15,0,3
govt_hospital,0,5,22,4,11
city_general,1,5,12,3,3
st_marys,1,5,17,0,7
metrocare,1,5,19,3,4
govt_hospital,1,5,21,6,5
city_general,2,5,1,3,8
st_marys,2,5,4,3,4
metrocare,2,5,14,4,0
govt_hospital,2,5,31,0,1
city_general,3,5,11,0,4
st_marys,3,5,4,0,7
metrocare,3,5,8,1,12
govt_hospital,3,5,14,0,5
city_general,4,5,13,3,4
st_marys,4,5,19,4,8
metrocare,4,5,6,8,5
govt_hospital,4,5,12,0,6
city_general,5,5,10,5,7
st_marys,5,5,17,2,9
metrocare,5,5,22,1,2
govt_hospital,5,5,4,3,3
city_general,6,5,10,1,3
st_marys,6,5,8,0,3
metrocare,6,5,13,0,7
govt_hospital,6,5,1,3,-3
city_general,7,5,26,0,11
st_marys,7,5,12,5,3
metrocare,7,5,1,0,-2
govt_hospital,7,5,8,3,3
city_general,8,5,39,4,10
st_marys,8,5,46,8,14
metrocare,8,5,43,4,13
govt_hospital,8,5,24,3,2
city_general,9,5,46,6,12
st_marys,9,5,30,3,5
metrocare,9,5,41,5,7
govt_hospital,9,5,46,6,3
city_general,10,5,31,6,2
st_marys,10,5,47,9,10
metrocare,10,5,55,5,14
govt_hospital,10,5,38,8,11
city_general,11,5,32,5,11
st_marys,11,5,30,6,2
metrocare,11,5,44,10,3
govt_hospital,11,5,45,10,0
city_general,12,5,1,4,7
st_marys,12,5,17,3,10
metrocare,12,5,1,0,5
govt_hospital,12,5,14,0,3
city_general,13,5,11,0,1
st_marys,13,5,13,1,11
metrocare,13,5,13,2,0
govt_hospital,13,5,20,1,10
city_general,14,5,3,0,7
st_marys,14,5,10,0,2
metrocare,14,5,15,4,13
govt_hospital,14,5,1,0,4
city_general,15,5,25,0,9
st_marys,15,5,23,4,14
metrocare,15,5,16,0,9
govt_hospital,15,5,1,2,7
city_general,16,5,1,2,-4
st_marys,16,5,32,0,5
metrocare,16,5,14,0,16
govt_hospital,16,5,15,3,6
city_general,17,5,57,7,9
st_marys,17,5,60,11,8
metrocare,17,5,45,1,13
govt_hospital,17,5,52,11,7
city_general,18,5,44,8,0
st_marys,18,5,27,7,4
metrocare,18,5,43,3,5
govt_hospital,18,5,40,10,8
city_general,19,5,65,12,10
st_marys,19,5,57,9,12
metrocare,19,5,41,5,4
govt_hospital,19,5,54,8,7
city_general,20,5,51,6,10
st_marys,20,5,32,3,2
metrocare,20,5,56,2,8
govt_hospital,20,5,43,6,17
city_general,21,5,29,7,9
st_marys,21,5,15,2,7
metrocare,21,5,7,0,9
govt_hospital,21,5,14,1,6
city_general,22,5,19,5,9
st_marys,22,5,1,1,3
metrocare,22,5,10,0,8
govt_hospital,22,5,1,0,11
city_general,23,5,11,3,9
st_marys,23,5,3,0,8
metrocare,23,5,24,4,10
govt_hospital,23,5,25,4,3
city_general,0,6,9,2,8
st_marys,0,6,8,5,6
metrocare,0,6,5,0,3
govt_hospital,0,6,19,4,11
city_general,1,6,5,0,7
st_marys,1,6,24,5,8
metrocare,1,6,5,0,6
govt_hospital,1,6,12,6,4
city_general,2,6,2,1,5
st_marys,2,6,19,3,1
metrocare,2,6,3,2,4
govt_hospital,2,6,35,4,15
city_general,3,6,16,4,13
st_marys,3,6,13,2,11
metrocare,3,6,14,2,-3
govt_hospital,3,6,23,4,10
city_general,4,6,2,2,5
st_marys,4,6,15,0,11
metrocare,4,6,24,2,4
govt_hospital,4,6,18,0,7
city_general,5,6,12,2,9
st_marys,5,6,5,0,7
metrocare,5,6,9,0,17
govt_hospital,5,6,26,0,11
city_general,6,6,13,0,11
st_marys,6,6,18,2,13
metrocare,6,6,30,0,12
govt_hospital,6,6,7,0,3
city_general,7,6,16,3,5
st_marys,7,6,9,0,9
metrocare,7,6,16,0,8
govt_hospital,7,6,11,0,7
city_general,8,6,40,2,15
st_marys,8,6,46,4,14
metrocare,8,6,42,11,8
govt_hospital,8,6,54,15,14
city_general,9,6,38,4,7
st_marys,9,6,53,6,10
metrocare,9,6,49,6,12
govt_hospital,9,6,43,9,11
city_general,10,6,49,10,11
st_marys,10,6,48,10,15
metrocare,10,6,59,9,12
govt_hospital,10,6,24,3,8
city_general,11,6,55,5,10
st_marys,11,6,41,3,3
metrocare,11,6,25,8,14
govt_hospital,11,6,32,5,9
city_general,12,6,3,0,10
st_marys,12,6,10,2,9
metrocare,12,6,1,2,14
govt_hospital,12,6,11,2,7
city_general,13,6,28,2,11
st_marys,13,6,22,0,13
metrocare,13,6,19,2,7
govt_hospital,13,6,20,2,12
city_general,14,6,30,6,10
st_marys,14,6,1,6,0
metrocare,14,6,12,0,-2
govt_hospital,14,6,14,4,6
city_general,15,6,23,0,2
st_marys,15,6,9,1,5
metrocare,15,6,12,0,11
govt_hospital,15,6,12,3,5
city_general,16,6,35,6,12
st_marys,16,6,28,2,9
metrocare,16,6,42,4,14
govt_hospital,16,6,11,6,8
city_general,17,6,31,4,18
st_marys,17,6,52,5,10
metrocare,17,6,49,2,10
govt_hospital,17,6,47,7,9
city_general,18,6,55,6,8
st_marys,18,6,49,7,14
metrocare,18,6,59,10,7
govt_hospital,18,6,45,8,9
city_general,19,6,47,10,6
st_marys,19,6,58,4,13
metrocare,19,6,42,5,16
govt_hospital,19,6,44,7,8
city_general,20,6,32,0,7
st_marys,20,6,56,4,8
metrocare,20,6,69,8,11
govt_hospital,20,6,42,1,5
city_general,21,6,12,4,4
st_marys,21,6,15,0,3
metrocare,21,6,13,4,6
govt_hospital,21,6,22,1,14
city_general,22,6,1,0,0
st_marys,22,6,21,7,7
metrocare,22,6,11,3,8
govt_hospital,22,6,22,5,2
city_general,23,6,20,3,0
st_marys,23,6,4,1,7
metrocare,23,6,11,0,4
govt_hospital,23,6,11,2,10
city_general,0,0,25,7,14
st_marys,0,0,16,1,3
metrocare,0,0,27,5,7
govt_hospital,0,0,23,2,11
city_general,1,0,18,3,8
st_marys,1,0,22,8,11
metrocare,1,0,16,1,8
govt_hospital,1,0,16,0,7
city_general,2,0,25,2,2
st_marys,2,0,8,0,8
metrocare,2,0,7,0,4
govt_hospital,2,0,24,3,6
city_general,3,0,29,6,6
st_marys,3,0,37,1,11
metrocare,3,0,34,2,6
govt_hospital,3,0,11,3,4
city_general,4,0,14,0,17
st_marys,4,0,27,5,-1
metrocare,4,0,26,0,6
govt_hospital,4,0,12,0,8
city_general,5,0,44,4,16
st_marys,5,0,17,0,6
metrocare,5,0,37,9,7
govt_hospital,5,0,14,5,9
city_general,6,0,32,3,5
st_marys,6,0,30,0,-1
metrocare,6,0,14,1,8
govt_hospital,6,0,17,5,8
city_general,7,0,1,2,1
st_marys,7,0,13,0,3
metrocare,7,0,18,7,7
govt_hospital,7,0,19,0,8
city_general,8,0,57,7,14
st_marys,8,0,57,9,13
metrocare,8,0,73,11,13
govt_hospital,8,0,61,13,9
city_general,9,0,56,9,11
st_marys,9,0,62,3,12
metrocare,9,0,57,9,13
govt_hospital,9,0,44,4,1
city_general,10,0,25,5,3
st_marys,10,0,66,12,10
metrocare,10,0,68,13,8
govt_hospital,10,0,50,7,8
city_general,11,0,58,13,6
st_marys,11,0,69,9,14
metrocare,11,0,59,2,10
govt_hospital,11,0,59,9,14
city_general,12,0,25,3,9
st_marys,12,0,30,4,13
metrocare,12,0,27,2,6
govt_hospital,12,0,6,2,8
city_general,13,0,24,0,5
st_marys,13,0,1,3,5
metrocare,13,0,28,1,12
govt_hospital,13,0,24,0,4
city_general,14,0,17,2,6
st_marys,14,0,24,5,3
metrocare,14,0,31,8,12
govt_hospital,14,0,25,6,10
city_general,15,0,20,2,8
st_marys,15,0,14,0,8
metrocare,15,0,2,3,8
govt_hospital,15,0,25,3,6
city_general,16,0,31,5,6
st_marys,16,0,23,0,3
metrocare,16,0,15,2,9
govt_hospital,16,0,22,5,2
city_general,17,0,53,0,12
st_marys,17,0,67,16,8
metrocare,17,0,69,11,7
govt_hospital,17,0,81,12,16
city_general,18,0,64,8,14
st_marys,18,0,73,14,12
metrocare,18,0,61,10,4
govt_hospital,18,0,56,13,14
city_general,19,0,70,5,9
st_marys,19,0,50,8,12
metrocare,19,0,78,11,9
govt_hospital,19,0,73,11,9
city_general,20,0,62,10,8
st_marys,20,0,55,7,16
metrocare,20,0,66,7,10
govt_hospital,20,0,65,15,13
city_general,21,0,10,3,6
st_marys,21,0,43,12,13
metrocare,21,0,24,1,6
govt_hospital,21,0,16,6,7
city_general,22,0,27,0,13
st_marys,22,0,26,0,0
metrocare,22,0,7,1,9
govt_hospital,22,0,11,7,6
city_general,23,0,20,3,5
st_marys,23,0,5,5,16
metrocare,23,0,9,3,5
govt_hospital,23,0,8,0,-1
city_general,0,1,42,4,12
st_marys,0,1,20,6,15
metrocare,0,1,17,6,3
govt_hospital,0,1,19,5,12
city_general,1,1,15,0,16
st_marys,1,1,26,3,3
metrocare,1,1,26,3,4
govt_hospital,1,1,28,2,-1
city_general,2,1,27,0,2
st_marys,2,1,31,5,9
metrocare,2,1,31,2,7
govt_hospital,2,1,13,1,13
city_general,3,1,6,0,3
st_marys,3,1,1,0,6
metrocare,3,1,20,3,5
govt_hospital,3,1,25,2,9
city_general,4,1,16,2,5
st_marys,4,1,1,0,-1
metrocare,4,1,23,4,4
govt_hospital,4,1,34,4,10
city_general,5,1,40,1,11
st_marys,5,1,3,4,7
metrocare,5,1,8,1,8
govt_hospital,5,1,21,7,10
city_general,6,1,13,6,2
st_marys,6,1,7,4,0
metrocare,6,1,7,3,7
govt_hospital,6,1,26,0,9
city_general,7,1,25,2,8
st_marys,7,1,24,8,8
metrocare,7,1,9,0,1
govt_hospital,7,1,9,0,3
city_general,8,1,65,6,10
st_marys,8,1,74,4,3
metrocare,8,1,71,10,10
govt_hospital,8,1,52,5,6
city_general,9,1,65,11,9
st_marys,9,1,72,13,11
metrocare,9,1,75,8,8
govt_hospital,9,1,65,10,11
city_general,10,1,64,12,9
st_marys,10,1,45,3,4
metrocare,10,1,62,13,8
govt_hospital,10,1,77,15,9
city_general,11,1,70,13,18
st_marys,11,1,66,8,12
metrocare,11,1,82,9,9
govt_hospital,11,1,64,9,6
city_general,12,1,17,3,2
st_marys,12,1,20,1,5
metrocare,12,1,19,2,8
govt_hospital,12,1,5,3,6
city_general,13,1,16,1,8
st_marys,13,1,10,0,2
metrocare,13,1,16,1,3
govt_hospital,13,1,36,9,7
city_general,14,1,24,7,10
st_marys,14,1,16,2,3
metrocare,14,1,6,0,9
govt_hospital,14,1,14,1,2
city_general,15,1,10,0,0
st_marys,15,1,36,5,13
metrocare,15,1,10,0,6
govt_hospital,15,1,26,5,6
city_general,16,1,17,0,14
st_marys,16,1,21,8,7
metrocare,16,1,31,6,8
govt_hospital,16,1,21,0,5
city_general,17,1,70,12,4
st_marys,17,1,72,12,2
metrocare,17,1,71,12,16
govt_hospital,17,1,74,9,11
city_general,18,1,69,10,12
st_marys,18,1,63,10,14
metrocare,18,1,76,11,7
govt_hospital,18,1,81,13,15
city_general,19,1,66,10,14
st_marys,19,1,64,6,5
metrocare,19,1,76,9,9
govt_hospital,19,1,74,8,10
city_general,20,1,90,11,8
st_marys,20,1,47,6,5
metrocare,20,1,73,13,9
govt_hospital,20,1,78,8,11
city_general,21,1,19,0,8
st_marys,21,1,29,3,4
metrocare,21,1,28,7,8
govt_hospital,21,1,23,4,9
city_general,22,1,22,3,9
st_marys,22,1,24,2,2
metrocare,22,1,24,6,5
govt_hospital,22,1,1,6,1
city_general,23,1,10,0,8
st_marys,23,1,5,0,2
metrocare,23,1,31,1,11
govt_hospital,23,1,26,5,10
city_general,0,2,11,0,7
st_marys,0,2,9,3,14
metrocare,0,2,9,2,16
govt_hospital,0,2,20,0,6
city_general,1,2,6,1,10
st_marys,1,2,28,5,8
metrocare,1,2,41,3,8
govt_hospital,1,2,10,0,8
city_general,2,2,18,3,3
st_marys,2,2,28,0,4
metrocare,2,2,20,4,5
govt_hospital,2,2,32,3,9
city_general,3,2,12,0,3
st_marys,3,2,11,2,3
metrocare,3,2,35,6,14
govt_hospital,3,2,20,6,9
city_general,4,2,24,8,8
st_marys,4,2,33,9,10
metrocare,4,2,15,6,11
govt_hospital,4,2,30,1,0
city_general,5,2,26,0,5
st_marys,5,2,25,3,8
metrocare,5,2,8,2,3
govt_hospital,5,2,25,2,3
city_general,6,2,9,1,10
st_marys,6,2,9,4,4
metrocare,6,2,4,0,5
govt_hospital,6,2,24,8,6
city_general,7,2,29,6,8
st_marys,7,2,20,7,7
metrocare,7,2,20,3,7
govt_hospital,7,2,26,0,10
city_general,8,2,61,9,17
st_marys,8,2,61,10,8
metrocare,8,2,67,12,15
govt_hospital,8,2,52,14,6
city_general,9,2,66,12,17
st_marys,9,2,76,10,15
metrocare,9,2,42,1,8
govt_hospital,9,2,61,7,10
city_general,10,2,65,10,7
st_marys,10,2,64,4,6
metrocare,10,2,60,7,16
govt_hospital,10,2,71,12,10
city_general,11,2,59,10,7
st_marys,11,2,73,13,3
metrocare,11,2,53,8,8
govt_hospital,11,2,65,7,13
city_general,12,2,26,0,4
